date,start_et,away,away_pts,home,home_pts,ot,attendance,notes
3/4/20,7:00p,Boston Celtics,112,Cleveland Cavaliers,106,,16897,
3/4/20,7:00p,Oklahoma City Thunder,114,Detroit Pistons,107,,15138,
3/4/20,7:00p,Indiana Pacers,100,Milwaukee Bucks,119,,17695,
3/4/20,7:30p,Memphis Grizzlies,118,Brooklyn Nets,79,,16941,
3/4/20,7:30p,Utah Jazz,112,New York Knicks,104,,16588,
3/4/20,7:30p,Orlando Magic,113,Miami Heat,116,,19600,
3/4/20,8:00p,Chicago Bulls,108,Minnesota Timberwolves,115,,13392,
3/4/20,9:30p,New Orleans Pelicans,123,Dallas Mavericks,127,OT,20459,
3/4/20,10:00p,Washington Wizards,104,Portland Trail Blazers,125,,19393,
3/5/20,7:00p,Denver Nuggets,114,Charlotte Hornets,112,,13311,
3/5/20,8:00p,Los Angeles Clippers,120,Houston Rockets,105,,18055,
3/5/20,10:00p,Philadelphia 76ers,125,Sacramento Kings,108,,15485,
3/5/20,10:30p,Toronto Raptors,121,Golden State Warriors,113,,18064,
3/6/20,7:00p,Atlanta Hawks,112,Washington Wizards,118,,17856,
3/6/20,7:30p,San Antonio Spurs,120,Brooklyn Nets,139,,16277,
3/6/20,7:30p,Oklahoma City Thunder,126,New York Knicks,103,,19499,
3/6/20,8:00p,Indiana Pacers,108,Chicago Bulls,102,,20229,
3/6/20,8:00p,Orlando Magic,132,Minnesota Timberwolves,118,,14315,
3/6/20,8:00p,Miami Heat,104,New Orleans Pelicans,110,,18384,
3/6/20,8:00p,Utah Jazz,99,Boston Celtics,94,,19156,
3/6/20,8:30p,Memphis Grizzlies,96,Dallas Mavericks,121,,20370,
3/6/20,9:00p,Portland Trail Blazers,117,Phoenix Suns,127,,15522,
3/6/20,10:30p,Milwaukee Bucks,103,Los Angeles Lakers,113,,18997,
3/7/20,5:00p,Houston Rockets,99,Charlotte Hornets,108,,19159,
3/7/20,7:00p,Utah Jazz,111,Detroit Pistons,105,,16590,
3/7/20,7:30p,Denver Nuggets,102,Cleveland Cavaliers,104,,19432,
3/7/20,8:00p,Atlanta Hawks,101,Memphis Grizzlies,118,,17117,
3/7/20,8:30p,Philadelphia 76ers,114,Golden State Warriors,118,,18064,
3/7/20,10:00p,Sacramento Kings,123,Portland Trail Blazers,111,,19691,
3/8/20,3:00p,Chicago Bulls,107,Brooklyn Nets,110,,15916,
3/8/20,3:30p,New Orleans Pelicans,120,Minnesota Timberwolves,107,,18978,
3/8/20,3:30p,Los Angeles Lakers,112,Los Angeles Clippers,103,,19068,
3/8/20,6:00p,Oklahoma City Thunder,105,Boston Celtics,104,,19156,
3/8/20,6:00p,Milwaukee Bucks,131,Phoenix Suns,140,,17282,
3/8/20,7:00p,Miami Heat,100,Washington Wizards,89,,18135,
3/8/20,7:00p,Indiana Pacers,112,Dallas Mavericks,109,,20324,
3/8/20,7:00p,Orlando Magic,126,Houston Rockets,106,,18055,
3/8/20,7:30p,Detroit Pistons,84,New York Knicks,96,,18361,
3/8/20,7:30p,San Antonio Spurs,129,Cleveland Cavaliers,132,OT,17995,
3/8/20,9:00p,Toronto Raptors,118,Sacramento Kings,113,,16449,
3/9/20,7:30p,Charlotte Hornets,138,Atlanta Hawks,143,2OT,14399,
3/9/20,9:00p,Milwaukee Bucks,95,Denver Nuggets,109,,19838,
3/9/20,9:00p,Toronto Raptors,101,Utah Jazz,92,,18306,
3/10/20,7:00p,New York Knicks,115,Washington Wizards,122,,15048,
3/10/20,7:00p,Boston Celtics,114,Indiana Pacers,111,,17053,
3/10/20,8:00p,Minnesota Timberwolves,111,Houston Rockets,117,,18055,
3/10/20,8:00p,Dallas Mavericks,109,San Antonio Spurs,119,,18354,
3/10/20,8:00p,Orlando Magic,120,Memphis Grizzlies,115,,15388,
3/10/20,8:00p,Cleveland Cavaliers,103,Chicago Bulls,108,,17837,
3/10/20,10:00p,Phoenix Suns,105,Portland Trail Blazers,121,,19393,
3/10/20,10:30p,Brooklyn Nets,104,Los Angeles Lakers,102,,18997,
3/10/20,10:30p,Los Angeles Clippers,131,Golden State Warriors,107,,18064,
3/11/20,7:00p,Detroit Pistons,106,Philadelphia 76ers,124,,20172,
3/11/20,7:30p,New York Knicks,136,Atlanta Hawks,131,OT,15393,
3/11/20,7:30p,Charlotte Hornets,109,Miami Heat,98,,19600,
3/11/20,8:00p,Denver Nuggets,97,Dallas Mavericks,113,,20302,
